Name,Energie,Fett,FS,Kohlenhydrate,Zucker,Eiweiss,Salz,Label
Apfel,52,0.2,0,13.8,11,0.3,0,1
Banane,95,0.3,0.1,21,12,1.1,0.1,1
Haselnussschnitte,542,31.9,18.6,54,42.6,7.6,0.4,0
Gummibärchen,343,0.1,0.1,77,46,6.9,0.1,0
Chips,503,28,2.6,53,2.9,6.3,2.8,0
Pommes,289,14,1.3,36,0.3,3.4,0.7,0
Nudeln,359,2,0.5,70.9,3.5,12.8,0,1
Erbsen,86,1,0.2,9.4,3.5,6.4,0,1
Eisbergsalat,7,0,0,0.7,0.7,0.5,0,1
Frikadelle,294,22,2.8,10.5,2,13.5,1.5,0
Brotscheibe,229,4.9,0.8,35,2.3,7.7,1,1
Knäckebrot,349,3,0.7,61,0.7,12,0.5,1
Popcorn,499,23,13.8,57,3.8,10.7,1.8,0
Vanilleeis,207,11,6.7,24,21,3.5,0.1,0
Marmorkuchen,447,26,14,54,33,5.4,0.4,0
Chicken Nuggets,241,11,1.5,21,0.5,14,1,0
Erdbeerjoghurt,93,2.8,1.8,14,13,3,0.1,0
Salatgurke,12,0.1,0,3.6,1.7,0.7,2,1
Brokkoli,43,0.2,0.1,2.9,1.7,4,0,1
Schokomüsli,406,11.3,4.7,60.7,22.2,10.7,0.3,0
Waffel,459,24.3,12.7,53,33.8,7.5,0.3,0
Haferflocken,368,7,1.5,58.7,0.7,13.5,0,1
Kartoffel,71,0.1,0,15,0.8,1.7,2,1
Vollmilchschokolade,530,29.5,17.5,58.5,57.5,6.6,0.2,0
Majonäse,721,79.3,10,0.2,0.2,1.2,0.8,0
Putenbrustfilet (gebraten),111,1.7,0.6,0,0,24,0.2,1
Avocado,160,13,2.8,2,0.7,1.5,0.1,1
Himbeermarmelade,223,0.2,0,52.2,51.7,0.7,0,0
