Name,Energie,Fett,FS,Kohlenhydrate,Zucker,Eiweiss,Salz,Label
Apfel,52,0.2,0,13.8,11,0.3,0,1
Waffel,459,24.3,12.7,53,33.8,7.5,0.3,0
Spiegelei,204,17.1,6.1,1,1,11.4,0.54,1
Chips,503,28,2.6,53,2.9,6.3,2.8,0
Fritierte Pommes,289,14,1.3,36,0.3,3.4,0.7,0
Sahnebonbons,424,8.4,5.7,86.9,71.6,0.3,1,0
Brotscheibe,229,4.9,0.8,35,2.3,7.7,1.03,1
Schokomuesli,406,11.3,4.7,60.7,22.2,10.7,0.25,0
Chicken Nuggets,241,11,1.5,21,0.5,14,0.98,0
Banane,95,0.3,0.1,21,12,1.1,0.1,1
Gouda,354,27.7,17.9,0,0,26.3,2.17,1
Tomate,19,0.1,0,3.5,3.2,0.7,0,1
Ketchup,101,0.5,0.1,20,19,1.7,1.8,0
Doppelkeks,470,18.5,8.6,68.7,32.4,5.4,0.4,0
